src-ip,risk-factor,categories
213.230.102.14,2.9,"Categorization
Spam (29%)"
77.41.61.206,1,"Categorization
Dynamic IPs (71%)"
fe80::1840:444:ce0b:f1bd,1,Categorization Unsuspicious
79.155.130.108,1,Categorization Unsuspicious
79.112.160.214,1,"Categorization
Dynamic IPs (71%)"
170.231.114.153,1,Categorization Unsuspicious
93.159.235.48,1,Categorization Unsuspicious
103.252.171.242,7.1,"Categorization
Spam (71%)
Dynamic IPs (71%)
Bots (14%)"
27.130.168.129,1,"Categorization
Dynamic IPs (71%)"
109.203.16.254,1,Categorization Unsuspicious
71.35.123.153,1,Categorization Unsuspicious
125.161.165.108,1,"Categorization
Dynamic IPs (86%)"
41.212.95.170,1,"Categorization
Dynamic IPs (71%)"
195.250.139.210,1,Categorization Unsuspicious
41.205.231.109,1.4,"Categorization
Spam (14%)
Dynamic IPs (71%)"
171.4.229.213,1,"Categorization
Dynamic IPs (86%)"
80.151.131.227,1,"Categorization
Dynamic IPs (71%)"
37.105.229.205,5.7,"Categorization
Spam (57%)
Dynamic IPs (71%)"
119.155.33.16,5.7,"Categorization
Spam (57%)
Dynamic IPs (71%)"
188.24.5.197,1,"Categorization
Dynamic IPs (86%)"
186.226.191.158,1,"Categorization
Dynamic IPs (86%)"
193.105.32.50,1,Categorization Unsuspicious
103.209.143.145,5.7,"Categorization
Spam (57%)
Dynamic IPs (86%)"
176.71.138.65,1,"Categorization
Dynamic IPs (71%)"
187.20.105.125,1,Categorization Unsuspicious
176.214.214.203,1,"Categorization
Dynamic IPs (71%)"
88.178.109.251,1,Categorization Unsuspicious
170.82.211.83,1,"Categorization
Dynamic IPs (71%)"
177.23.63.121,1,Categorization Unsuspicious
97.127.141.222,1,"Categorization
Dynamic IPs (71%)"
189.102.244.99,1,Categorization Unsuspicious
112.208.16.238,1,"Categorization
Dynamic IPs (71%)"
85.132.78.66,1,"Categorization
Dynamic IPs (71%)
Education (edu.az)"
185.42.60.67,1,Categorization Unsuspicious
181.194.137.245,1,"Categorization
Dynamic IPs (86%)"
183.81.13.78,10,"Categorization
Spam (100%)
Dynamic IPs (86%)"
99.254.140.215,1,Categorization Unsuspicious
213.176.255.38,1,"Categorization
Dynamic IPs (71%)"
104.244.225.204,5.7,"Categorization
Spam (57%)
Dynamic IPs (71%)"
78.154.171.197,2.9,"Categorization
Spam (29%)
Dynamic IPs (71%)"
46.166.142.81,1,Categorization Unsuspicious
89.177.106.40,1,Categorization Unsuspicious
49.144.134.213,1,"Categorization
Dynamic IPs (86%)"
213.172.79.153,1,"Categorization
Dynamic IPs (71%)"
93.140.63.130,1,Categorization Unsuspicious
170.231.114.146,1,Categorization Unsuspicious
177.42.81.151,1,Categorization Unsuspicious
41.90.9.34,5.7,"Categorization
Spam (57%)
Dynamic IPs (86%)"
213.49.118.116,1,"Categorization
Dynamic IPs (86%)"
49.49.241.243,4.3,"Categorization
Dynamic IPs (71%)
Bots (43%)"
37.140.58.3,1,"Categorization
Dynamic IPs (71%)"
94.126.61.227,1,"Categorization
Dynamic IPs (71%)"
62.66.191.201,1,Categorization Unsuspicious
81.94.244.137,1,"Categorization
Dynamic IPs (71%)"
79.113.133.167,Unknown,Categorization Unsuspicious
151.51.143.208,1,Categorization Unsuspicious
190.232.248.155,1,"Categorization
Dynamic IPs (86%)"
191.6.126.129,1,"Categorization
Dynamic IPs (71%)"
171.114.138.118,1,Categorization Unsuspicious
77.35.10.220,1,"Categorization
Dynamic IPs (71%)"
179.179.241.18,1,Categorization Unsuspicious
93.185.19.114,1,"Categorization
Dynamic IPs (86%)"
172.98.87.94,5.7,"Categorization
Spam (57%)"
59.102.138.129,1,"Categorization
Dynamic IPs (86%)"
176.59.33.214,1,Categorization Unsuspicious
78.188.203.27,1,Categorization Unsuspicious
39.44.101.26,1,"Categorization
Dynamic IPs (71%)"
49.206.116.137,5.7,"Categorization
Spam (57%)
Dynamic IPs (86%)"
168.121.110.156,1,Categorization Unsuspicious
191.35.64.75,1,"Categorization
Dynamic IPs (71%)"
65.92.226.65,1,"Categorization
Dynamic IPs (86%)"
178.234.59.169,1,Categorization Unsuspicious
187.170.144.236,1,"Categorization
Dynamic IPs (71%)"
91.146.136.149,1,Categorization Unsuspicious
