action,protocol,src-ip,dst-ip,src-port,dst-port,path,src-ip-risk-factor,dst-ip-risk-factor,total-risk-factor
0,1,42540488182159607631378741951257114882,42540488182159607631084911457978795943,51246,42065,0,0.0,0.0,0.0
0,0,459334517,3232235784,8250,42065,0,0.0,0.0,0.0
0,1,704282692,3232235784,7709,42065,0,0.0,0.0,0.0
0,0,2011961801,3232235784,9033,42065,0,0.0,0.0,0.0
0,0,1331956510,3232235784,25086,42065,0,0.0,0.0,0.0
0,0,1734053767,3232235784,28604,42065,0,1.0,0.0,1.0
0,1,1731597048,3232235784,43414,42065,0,4.0,0.0,1.0
0,0,3236218030,3232235784,8988,42065,0,0.0,0.0,0.0
0,0,1281025845,3232235784,50321,42065,0,0.0,0.0,0.0
0,1,2424916211,3232235784,61336,42065,0,0.0,0.0,0.0
0,0,1085552193,3232235784,40500,42065,0,0.0,0.0,0.0
0,0,85760572,3232235784,40500,42065,0,0.0,0.0,0.0
0,0,2891709550,3232235784,40500,42065,0,0.0,0.0,0.0
0,1,2014685584,3232235784,60642,42065,0,0.0,0.0,0.0
0,0,1009914549,3232235784,7525,42065,0,0.0,0.0,0.0
0,0,1038319159,3232235784,10299,42065,0,4.0,0.0,1.0
0,0,462676616,3232235784,22176,42065,0,4.0,0.0,1.0
0,0,1839722996,3232235784,52133,42065,0,0.0,0.0,0.0
0,1,1741136134,3232235784,49241,42065,0,6.0,0.0,1.0
0,0,3399035171,3232235784,56862,42065,0,3.0,0.0,1.0
0,0,737925544,3232235784,8802,42065,0,1.0,0.0,1.0
0,0,3238657101,3232235784,6889,42065,0,0.0,0.0,0.0
0,0,454150085,3232235784,1233,42065,0,0.0,0.0,0.0
0,0,605604908,3232235784,1305,42065,0,0.0,0.0,0.0
0,1,1342433871,3232235784,65522,42065,0,0.0,0.0,0.0
0,0,1398058949,3232235784,6889,42065,0,0.0,0.0,0.0
0,0,826446487,3232235784,25381,42065,0,0.0,0.0,0.0
0,1,1892840119,3232235784,60730,42065,0,0.0,0.0,0.0
0,0,3113857831,3232235784,9517,42065,0,0.0,0.0,0.0
0,0,3735302818,3232235784,6882,42065,0,0.0,0.0,0.0
0,0,1782919255,3232235784,6881,42065,0,0.0,0.0,0.0
0,0,1035487314,3232235784,1430,42065,0,0.0,0.0,0.0
0,0,3291883793,3232235784,25387,42065,0,0.0,0.0,0.0
0,1,1758417666,3232235784,55553,42065,0,0.0,0.0,0.0
0,0,3700382740,3232235784,1649,42065,0,0.0,0.0,0.0
0,0,1550834206,3232235784,50321,42065,0,0.0,0.0,0.0
0,0,2931952969,3232235784,9013,42065,0,0.0,0.0,0.0
0,0,2104438102,3232235784,21738,42065,0,0.0,0.0,0.0
0,0,993709100,3232235784,29715,42065,0,0.0,0.0,0.0
0,0,1892058482,3232235784,47683,42065,0,0.0,0.0,0.0
0,1,3321175848,3232235784,53549,42065,0,4.0,0.0,1.0
0,0,710686884,3232235784,47483,42065,0,0.0,0.0,0.0
0,1,1892328100,3232235784,21825,42065,0,0.0,0.0,0.0
0,0,2851023882,3232235784,46139,42065,0,6.0,0.0,1.0
0,0,694423364,3232235784,22985,42065,0,0.0,0.0,0.0
0,0,1275818820,3232235784,6883,42065,0,0.0,0.0,0.0
0,1,694718222,3232235784,14227,42065,0,0.0,0.0,0.0
0,0,3232235784,694718222,42065,6890,1,0.0,0.0,0.0
0,0,694718222,3232235784,13506,42065,0,0.0,0.0,0.0
0,2,42540488182159607631378741951257114882,42540488182159607631084911457978795943,-99999,-99999,0,0.0,0.0,0.0
0,1,2523643352,3232235784,21754,42065,0,0.0,0.0,0.0
0,0,2969319468,3232235784,40502,42065,0,0.0,0.0,0.0
0,0,3284847310,3232235784,42721,42065,0,0.0,0.0,0.0
0,1,995824110,3232235784,34225,42065,0,4.0,0.0,1.0
0,0,3320649946,3232235784,45714,42065,0,4.0,0.0,1.0
0,1,3320649946,3232235784,52056,42065,0,4.0,0.0,1.0
0,2,42540488182159607631084911457978795943,42540488182159607631378741951257114882,-99999,-99999,1,0.0,0.0,0.0
0,0,2101577122,3232235784,13073,42065,0,0.0,0.0,0.0
0,1,1892215279,3232235784,16120,42065,0,0.0,0.0,0.0
0,0,1298815426,3232235784,27307,42065,0,0.0,0.0,0.0
0,1,3105216683,3232235784,48029,42065,0,0.0,0.0,0.0
0,1,42540488210633193209433587357587025464,42540488182159607631084911457978795943,57698,42065,0,0.0,0.0,0.0
0,0,16896693,3232235784,6883,42065,0,4.0,0.0,1.0
0,1,1592979010,3232235784,62781,42065,0,4.0,0.0,1.0
0,0,1306965714,3232235784,6889,42065,0,0.0,0.0,0.0
