action,protocol,src-ip,dst-ip,src-port,dst-port,path,src-ip-risk-factor,dst-ip-risk-factor,total-risk-factor
0,0,198.84.154.27,192.168.1.8,6882,42065,0,1.0,1.0,1.0
0,0,31.9.180.37,192.168.1.8,4991,42065,0,1.0,1.0,1.0
0,0,114.238.140.251,192.168.1.8,47762,42065,0,-999.0,1.0,-499.0
0,0,192.168.1.8,41.86.153.94,42065,14522,1,1.0,1.0,1.0
0,0,183.88.78.134,192.168.1.8,47989,42065,0,5.7,1.0,3.35
0,0,82.102.92.201,192.168.1.8,11442,42065,0,1.0,1.0,1.0
0,1,192.168.1.8,144.137.72.243,57525,37096,1,1.0,1.0,1.0
0,0,190.58.252.18,192.168.1.8,54150,42065,0,1.0,1.0,1.0
0,0,77.136.19.50,192.168.1.8,47710,42065,0,1.0,1.0,1.0
0,0,105.228.156.134,192.168.1.8,40500,42065,0,1.0,1.0,1.0
0,0,213.144.12.60,192.168.1.8,54299,42065,0,1.0,1.0,1.0
0,1,2405:204:629c:a749:7058:cbdc:b987:40ff,2001:0:4137:9e76:1419:22a7:ce0b:c7a7,37250,42065,0,1.0,1.0,1.0
0,1,180.191.92.23,192.168.1.8,4388,42065,0,1.0,1.0,1.0
0,0,70.27.106.88,192.168.1.8,1032,42065,0,1.0,1.0,1.0
0,0,81.236.6.253,192.168.1.8,63505,56664,0,1.0,1.0,1.0
0,1,2001:0:4137:9e76:182d:7ee:ae13:f902,2001:0:4137:9e76:1419:22a7:ce0b:c7a7,51246,42065,0,1.0,1.0,1.0
0,0,27.96.227.117,192.168.1.8,8250,42065,0,1.0,1.0,1.0
0,1,41.250.128.68,192.168.1.8,7709,42065,0,1.0,1.0,1.0
0,0,119.236.25.201,192.168.1.8,9033,42065,0,1.0,1.0,1.0
0,0,79.100.11.30,192.168.1.8,25086,42065,0,1.0,1.0,1.0
0,0,103.91.143.135,192.168.1.8,28604,42065,0,1.4,1.0,1.2
0,1,103.54.18.248,192.168.1.8,43414,42065,0,5.7,1.0,3.35
0,0,192.228.196.174,192.168.1.8,8988,42065,0,1.0,1.0,1.0
0,0,76.90.231.53,192.168.1.8,50321,42065,0,1.0,1.0,1.0
0,1,144.137.72.243,192.168.1.8,61336,42065,0,1.0,1.0,1.0
0,0,64.180.54.65,192.168.1.8,40500,42065,0,1.0,1.0,1.0
0,0,5.28.154.60,192.168.1.8,40500,42065,0,1.0,1.0,1.0
0,0,172.91.252.110,192.168.1.8,40500,42065,0,1.0,1.0,1.0
0,1,120.21.169.144,192.168.1.8,60642,42065,0,1.0,1.0,1.0
0,0,60.50.18.181,192.168.1.8,7525,42065,0,1.0,1.0,1.0
0,0,61.227.126.55,192.168.1.8,10299,42065,0,5.7,1.0,3.35
0,0,27.147.226.136,192.168.1.8,22176,42065,0,5.7,1.0,3.35
0,0,109.167.241.244,192.168.1.8,52133,42065,0,1.0,1.0,1.0
0,1,103.199.161.6,192.168.1.8,49241,42065,0,8.6,1.0,4.8
0,0,202.153.41.35,192.168.1.8,56862,42065,0,4.3,1.0,2.65
0,0,43.251.217.168,192.168.1.8,8802,42065,0,1.4,1.0,1.2
0,0,193.9.252.77,192.168.1.8,6889,42065,0,1.0,1.0,1.0
0,0,27.17.199.197,192.168.1.8,1233,42065,0,1.0,1.0,1.0
0,0,36.24.204.44,192.168.1.8,1305,42065,0,1.0,1.0,1.0
0,1,80.3.234.79,192.168.1.8,65522,42065,0,1.0,1.0,1.0
0,0,83.84.175.197,192.168.1.8,6889,42065,0,1.0,1.0,1.0
0,0,49.66.146.151,192.168.1.8,25381,42065,0,1.0,1.0,1.0
0,1,112.210.114.183,192.168.1.8,60730,42065,0,1.0,1.0,1.0
0,0,185.153.179.39,192.168.1.8,9517,42065,0,1.0,1.0,1.0
0,0,222.164.50.162,192.168.1.8,6882,42065,0,1.0,1.0,1.0
0,0,106.69.48.87,192.168.1.8,6881,42065,0,1.0,1.0,1.0
0,0,61.184.72.82,192.168.1.8,1430,42065,0,1.0,1.0,1.0
0,0,196.54.41.17,192.168.1.8,25387,42065,0,1.0,1.0,1.0
