0,1,2,3,4,5,6,7
0.0,0.5,1.0531922464015238e-29,9.554671662880072e-30,0.0,1.0,0.9999300041997479,1.0
0.0,0.5,9.554671662880072e-30,2.1793461252004432e-30,1.0,0.9999300041997479,0.999970001799892,1.0
0.0,0.5,5.1468968194365434e-30,9.554671662880072e-30,0.0,0.9999900005999641,0.9999300041997479,1.0
0.0,0.5,5.4660248626452596e-30,9.554671662880072e-30,0.0,0.999960002399856,0.9999300041997479,1.0
0.0,0.5,2.055619841522923e-30,9.554671662880072e-30,0.0,0.9999300041997479,0.9999300041997479,0.99999
0.0,0.0,5.044520515045353e-30,9.554671662880072e-30,0.0,0.9999300041997479,0.9999300041997479,0.99999
0.0,0.0,9.10584892781199e-30,9.554671662880072e-30,0.0,0.9999300041997479,0.9999300041997479,0.99999
0.0,0.0,5.4660248626452596e-30,9.554671662880072e-30,0.0,0.999960002399856,0.9999300041997479,1.0
0.0,0.0,1.041844661375323e-29,9.554671662880072e-30,0.0,0.999970001799892,0.9999300041997479,1.0
0.0,0.0,5.4660248626452596e-30,9.554671662880072e-30,0.0,0.999960002399856,0.9999300041997479,1.0
0.0,0.5,5.19798200479338e-30,9.554671662880072e-30,0.0,0.9999300041997479,0.9999300041997479,0.99999
0.0,0.0,9.56644340713553e-30,9.554671662880072e-30,0.0,0.9999300041997479,0.9999300041997479,0.99999
0.0,0.0,4.068888456373051e-30,9.554671662880072e-30,0.0,0.9999300041997479,0.9999300041997479,0.99999
0.0,0.5,5.49914458789284e-30,9.554671662880072e-30,0.0,0.9999400035997841,0.9999300041997479,1.0
0.0,0.0,1.578271867527288e-30,9.554671662880072e-30,0.0,1.0,0.9999300041997479,1.0
0.0,0.0,1.109463172245352e-29,9.554671662880072e-30,0.0,0.9999300041997479,0.9999300041997479,0.99999
0.0,0.5,5.4660248626452596e-30,9.554671662880072e-30,0.0,0.999960002399856,0.9999300041997479,1.0
0.0,0.5,9.554671662880072e-30,7.16818937479894e-30,1.0,0.9999300041997479,0.9999300041997479,0.99999
0.0,0.0,8.427787734192366e-30,9.554671662880072e-30,0.0,0.9999900005999641,0.9999300041997479,1.0
0.0,0.0,9.554671662880072e-30,5.8506176301001275e-30,1.0,0.9999300041997479,0.999970001799892,1.0
0.0,0.0,4.636193865391181e-30,9.554671662880072e-30,0.0,0.9999300041997479,0.9999300041997479,0.99999
0.0,0.0,5.267003015792852e-30,9.554671662880072e-30,0.0,0.0,0.9999300041997479,0.0
0.0,0.5,9.37366147930034e-30,9.554671662880072e-30,0.0,0.99995000299982,0.9999300041997479,1.0
0.0,0.0,8.427787734192366e-30,9.554671662880072e-30,0.0,0.9999900005999641,0.9999300041997479,1.0
0.0,0.0,5.115596807110448e-30,9.554671662880072e-30,0.0,0.999960002399856,0.9999300041997479,1.0
0.0,0.0,2.7440621587729e-31,9.554671662880072e-30,0.0,0.9999300041997479,0.9999300041997479,0.99999
0.0,0.0,9.554671662880072e-30,5.1571726749381375e-30,1.0,0.9999300041997479,0.999980001199928,1.0
0.0,0.0,9.554671662880072e-30,9.178397049286926e-30,1.0,0.9999300041997479,0.9999300041997479,0.99999
0.0,0.0,1.0590014345802317e-29,9.554671662880072e-30,0.0,0.9999300041997479,0.9999300041997479,0.99999
0.0,0.0,8.734808024113027e-30,9.554671662880072e-30,0.0,0.9999300041997479,0.9999300041997479,0.99999
0.0,0.0,6.2042354509402554e-30,9.554671662880072e-30,0.0,0.999970001799892,0.9999300041997479,1.0
0.0,0.5,5.1503879901768275e-30,9.554671662880072e-30,0.0,0.999970001799892,0.9999300041997479,1.0
0.0,0.5,5.1571726749381375e-30,9.554671662880072e-30,0.0,0.999980001199928,0.9999300041997479,1.0
0.0,0.0,1.8442299931224307e-30,9.554671662880072e-30,0.0,0.999970001799892,0.9999300041997479,1.0
0.0,0.0,6.178437475670843e-32,9.554671662880072e-30,0.0,0.9999300041997479,0.9999300041997479,0.99999
0.0,0.0,3.7502034432672096e-30,9.554671662880072e-30,0.0,0.9999300041997479,0.9999300041997479,0.99999
0.0,0.5,8.626294795625914e-30,9.554671662880072e-30,0.0,0.9999300041997479,0.9999300041997479,0.99999
0.0,0.0,1.8442299931224307e-30,9.554671662880072e-30,0.0,0.999970001799892,0.9999300041997479,1.0
0.0,0.5,5.1570475243732174e-30,9.554671662880072e-30,0.0,0.999970001799892,0.9999300041997479,1.0
